date,collection,marketplace,volume_eth,volume_usd,trades_count,avg_price_eth,royalty_rate_pct,royalty_paid_usd,unique_buyers,unique_sellers,chain
2026-07-01,BasePunks,OpenSea,492.26,1476773,1806,3.928,0.0,9550.03,145,411,Base
2026-07-02,OnChainCanvas,Zora,461.05,1383135,727,3.328,7.5,118409.05,408,294,Base
2026-07-03,BaseDoods,Rarible,1071.96,3215890,3345,4.424,2.5,228282.6,40,83,Base
2026-07-04,PixelBase,Blur,901.27,2703817,4883,3.209,7.5,63283.73,383,458,Base
2026-07-05,EtherScapes,SuperRare,1610.37,4831097,1817,4.067,7.5,445615.06,561,11,Base
2026-07-06,BasePunks,OpenSea,1157.35,3472054,4887,0.176,7.5,226243.03,611,68,Base
2026-07-07,OnChainCanvas,Zora,654.76,1964267,4756,1.154,2.5,12151.28,97,389,Base
2026-07-08,BaseDoods,Rarible,1597.64,4792911,2361,4.069,7.5,384919.4,719,400,Base
2026-07-09,PixelBase,Blur,1663.42,4990247,485,3.588,7.5,496588.41,484,396,Base
2026-07-10,EtherScapes,SuperRare,1585.23,4755700,406,1.932,7.5,29657.57,381,282,Base
2026-07-11,BasePunks,OpenSea,231.86,695576,4586,0.747,5.0,15316.14,426,345,Base
2026-07-12,OnChainCanvas,Zora,377.39,1132182,597,2.961,7.5,68828.64,111,559,Base
2026-07-13,BaseDoods,Rarible,381.72,1145158,2038,4.924,0.0,111613.89,680,328,Base
2026-07-14,PixelBase,Blur,780.03,2340095,4588,3.139,2.5,145934.28,769,358,Base
2026-07-15,EtherScapes,SuperRare,1120.2,3360608,4771,3.879,5.0,128240.0,29,223,Base
2026-07-16,BasePunks,OpenSea,344.45,1033349,841,2.697,7.5,5045.19,431,576,Base
2026-07-17,OnChainCanvas,Zora,951.03,2853085,2754,2.212,10.0,75565.33,288,22,Base
2026-07-18,BaseDoods,Rarible,1161.28,3483839,3009,0.638,10.0,98542.17,763,108,Base
2026-07-19,PixelBase,Blur,474.26,1422791,3788,2.655,7.5,136094.99,92,529,Base
2026-07-20,EtherScapes,SuperRare,1172.41,3517235,2899,0.977,10.0,118446.73,154,432,Base
2026-07-21,BasePunks,OpenSea,337.25,1011735,4337,2.467,2.5,70295.3,432,204,Base
2026-07-22,OnChainCanvas,Zora,1106.51,3319536,1503,4.357,10.0,214666.25,372,49,Base
2026-07-23,BaseDoods,Rarible,289.37,868112,1979,2.972,7.5,45509.07,462,365,Base
2026-07-24,PixelBase,Blur,378.04,1134106,3048,0.227,5.0,65049.68,202,172,Base
2026-07-25,EtherScapes,SuperRare,1527.76,4583275,2515,0.221,7.5,370872.09,663,538,Base
2026-07-26,BasePunks,OpenSea,1490.66,4471967,1471,1.694,10.0,128750.81,110,188,Base
2026-07-27,OnChainCanvas,Zora,456.5,1369495,924,4.207,7.5,51384.37,295,301,Base
2026-07-28,BaseDoods,Rarible,287.47,862407,1513,4.163,7.5,31801.53,790,156,Base
2026-07-29,PixelBase,Blur,1251.28,3753835,3678,1.912,10.0,317265.18,730,400,Base
2026-07-30,EtherScapes,SuperRare,405.0,1215012,4102,0.483,0.0,32463.37,102,314,Base
